Word,Inverted List
capaz,{(77 1) (58 1) (8 1) (99 1) (98 1) (125 1) (115 1) (100 1)}
derrotar,{(8 1)}
mercantilização,{(8 1)}
humana,{(8 1) (29 1) (30 2)}
trazendo,{(8 1)}
trabalhador,{(58 1) (8 1) (30 2) (130 1) (15 1) (78 1) (130 4) (63 1)}
dificuldades,{(8 1) (92 1) (121 1)}
entregando,{(8 1) (16 1)}
patrimônio,{(8 1) (51 1) (16 2)}
privatizações,{(8 1) (51 1)}
fernando,{(80 1) (13 1) (112 1) (28 2) (121 1) (8 1) (131 1)}
henrique,{(13 1) (28 1) (121 1) (119 1) (8 1)}
diziam,{(8 1) (130 1)}
benéficas,{(8 1)}
vendo,{(8 1) (119 1) (66 1) (95 1)}
acontecendo,{(8 1) (78 4) (19 1) (81 1)}
vale,{(16 1) (92 1) (119 1) (8 1) (54 1) (101 2) (66 1)}
talvez,{(32 1) (8 1) (136 1) (88 1) (111 1) (107 1) (66 3) (120 1) (56 1) (22 1) (97 1)}
estourar,{(8 1)}
terceira,{(8 1) (48 1) (129 1)}
barragem,{(8 1) (48 1)}
acidente,{(8 1) (18 1)}
competência,{(8 1) (101 1) (129 1)}
privado,{(8 1) (28 1) (58 1) (130 1)}
união,{(123 1) (8 2) (131 1) (81 1) (106 1) (55 1) (33 1) (103 2)}
oposições,{(8 1) (28 1)}
nesse,{(129 3) (58 1) (38 1) (125 1) (51 1) (101 2) (95 1) (77 1) (126 1) (41 1) (8 1) (131 1) (16 1) (78 1) (88 1) (101 1) (129 1)}
anti-democrático,{(8 1)}
pressupõe,{(8 1)}
igualdade,{(16 1) (74 1) (8 1) (51 1) (129 1)}
debate,{(129 2) (45 1) (8 2) (16 1) (131 4) (58 4) (130 2) (51 1) (100 1)}
ideias,{(76 1) (8 1) (80 1) (28 1) (92 1) (74 1) (106 1) (88 1) (131 4) (100 1)}
pequenos,{(8 1)}
partidos,{(125 1) (28 1) (71 1) (8 1) (28 6) (129 1) (40 1)}
acesso,{(33 2) (8 1) (84 2) (70 1) (85 1) (99 1) (131 1) (66 1) (87 2) (80 1) (29 1) (88 2)}
superação,{(8 1) (51 1) (100 1) (28 3)}
ppl,{(8 1)}
emergência,{(8 1) (97 3)}
dando,{(64 1) (131 2) (135 1) (8 1) (130 1) (125 1) (56 3) (60 1) (22 1) (51 1)}
renúncia,{(8 1) (56 1) (71 2)}
luta,{(41 1) (8 1) (70 1) (99 1) (98 1) (111 1) (80 1) (125 1) (110 1) (88 2) (89 1) (54 1) (100 1)}
comum,{(30 1) (108 1) (58 1) (8 1) (131 1) (52 1) (129 1) (87 1) (101 1) (33 1)}
propostas,{(131 2) (28 1) (23 1) (8 1) (66 1) (130 1)}
progressistas,{(8 1) (13 1)}
nacionalistas,{(8 1)}
florescer,{(8 1)}
primavera,{(8 1)}
unanimidade,{(100 1) (9 1)}
júri,{(9 2) (126 1) (55 1)}
considerou,{(121 1) (9 1)}
herbicida,{(9 3)}
base,{(27 1) (58 1) (71 1) (122 1) (18 2) (130 1) (66 1) (48 1) (125 1) (110 1) (87 1) (54 1) (101 2) (33 1) (9 2) (70 1) (30 2) (131 1) (80 1) (60 1) (119 1)}
glifosato,{(9 6) (9 1)}
empresa,{(136 1) (34 1) (56 4) (16 1) (9 4) (55 1) (120 1) (133 1) (31 1)}
bayer,{(9 3)}
roundup,{(9 3)}
causador,{(9 1)}
linfoma,{(9 1)}
não-hodgkin,{(9 1)}
cidadão,{(80 1) (93 1) (110 1) (9 1) (58 1) (129 1) (108 3)}
californiano,{(9 1)}
edwin,{(9 1)}
hardeman,{(9 3)}
julgamento,{(9 2) (126 4) (101 4) (129 5)}
terça-feira,{(112 1) (113 1) (9 1)}
corte,{(54 2) (9 2) (126 2) (15 1) (16 1) (74 1) (101 1) (129 1)}
francisco,{(9 2) (121 1) (105 1) (16 1)}
abre,{(9 1) (18 1) (74 1)}
caminho,{(13 1) (91 1) (9 1) (58 1) (97 1) (125 1) (66 3) (33 1)}
tribunal,{(9 1) (101 6) (105 2) (38 1) (70 1) (78 2) (80 2) (126 3) (131 1) (51 1) (31 1)}
determine,{(9 1)}
monsanto,{(9 2)}
unidade,{(16 1) (13 1) (64 2) (9 1)}
pagar,{(120 1) (99 2) (9 1) (66 1)}
indenização,{(9 1)}
dano,{(9 1) (129 1)}
causado,{(9 1)}
integrante,{(49 1) (51 1) (9 1) (55 1)}
nayara,{(9 1)}
bittencourt,{(9 2)}
embora,{(45 1) (123 1) (9 1) (103 1) (131 1) (58 2) (16 1) (15 1) (75 1) (60 1) (124 1) (101 1)}
soberania,{(41 2) (129 5) (108 1) (9 1)}
campo,{(9 1) (70 1) (80 3) (88 1) (131 1) (28 3) (58 2) (70 3) (51 2) (75 1) (110 1) (121 1) (55 1) (56 1)}
acender,{(9 1)}
sinal,{(96 1) (62 1) (94 1) (9 1) (78 5) (121 1)}
alerta,{(91 1) (9 1)}
autoridades,{(31 2) (103 1) (9 2) (70 1) (68 1) (18 1)}
brasileiras,{(123 1) (12 1) (41 1) (9 2) (72 1) (61 1) (70 2) (75 1) (87 1) (31 1)}
riscos,{(75 1) (9 1) (130 1)}
ampla,{(9 1) (106 1) (104 1) (38 1) (100 1) (129 1) (22 1)}
utilização,{(16 1) (9 1)}
desse,{(9 1) (84 1) (80 2) (66 1) (28 1) (74 1) (133 1) (51 1) (33 1) (31 1) (64 1) (126 1) (45 2) (85 1) (88 1) (101 1) (131 4) (129 1)}
produto,{(9 3) (130 1)}
agricultura,{(48 1) (16 1) (9 1) (55 1) (9 2) (51 1) (66 1)}
acredito,{(77 1) (19 2) (9 1) (88 1) (131 1) (100 1) (66 1)}
precedente,{(126 1) (12 1) (9 1)}
panorama,{(9 1) (119 1)}
especialmente,{(131 2) (103 1) (9 2) (70 1) (80 2)}
agronegócio,{(12 1) (9 1)}
desses,{(109 1) (9 1) (75 2) (34 1) (15 1) (16 1) (98 1) (106 1) (127 1)}
produtos,{(9 3) (97 1) (66 1)}
altamente,{(9 1)}
tóxicos,{(9 1)}
significa,{(78 1) (131 1) (9 1) (130 1)}
judiciário,{(62 1) (9 1) (74 1) (101 1) (52 1)}
flexibilização,{(72 1) (9 1) (66 1)}
agrotóxicos,{(66 6) (66 1) (9 4)}
ingredientes,{(9 2)}
ativos,{(9 2) (130 2) (15 1)}
alguma,{(45 1) (108 1) (9 1) (122 1) (129 1) (11 1) (28 1) (56 1) (101 1) (19 1) (100 1) (66 4)}
forma,{(94 1) (28 4) (30 1) (9 1) (58 1) (137 1) (122 1) (52 2) (38 1) (66 3) (74 1) (23 1) (78 2) (115 1) (32 2) (126 1) (55 1) (88 5) (87 2) (16 1) (129 5) (60 1) (106 1) (119 1) (131 4)}
olhar,{(123 1) (137 1) (9 1) (41 1) (74 1)}
considerar,{(56 1) (129 3) (9 1) (130 1)}
análises,{(81 1) (9 1) (129 1)}
internas,{(16 1) (125 1) (9 1)}
acrescenta,{(80 2) (51 2) (9 1) (110 1)}
tratado,{(48 1) (131 1) (9 1)}
flexibilizar,{(9 1)}
mecanismos,{(16 1) (33 1) (9 1)}
uso,{(131 2) (71 1) (136 1) (9 8) (70 1) (20 1) (112 3) (111 1) (66 3) (100 1)}
somente,{(129 2) (54 2) (108 1) (9 1) (137 1) (52 1) (23 2) (58 2) (16 1) (80 1) (133 1)}
80,{(80 1) (66 3) (9 1) (63 2) (31 1)}
adquiriram,{(9 1)}
quadro,{(131 2) (9 1) (66 1)}
piorar,{(9 2) (56 1)}
aprovado,{(131 2) (30 1) (66 3) (9 1)}
série,{(94 1) (9 1) (133 2) (52 1) (17 1) (34 1) (55 2) (68 1) (33 1)}
legais,{(16 1) (62 1) (9 1) (101 1) (70 1) (33 1) (87 2)}
tramitam,{(9 1)}
facilitar,{(85 1) (101 1) (9 1)}
registro,{(51 1) (131 1) (9 2) (53 1) (99 1) (129 14) (112 2)}
químicos,{(9 1)}
agrícola,{(9 1)}
ficou,{(91 1) (9 1) (55 2) (66 1) (130 1) (89 1) (56 1) (32 2) (82 1) (31 1) (13 1) (77 1) (114 2) (80 3) (131 1) (11 1) (119 1) (78 3)}
fácil,{(131 2) (9 1) (58 1) (127 1)}
aprovar,{(16 1) (45 1) (94 1) (131 2) (9 1) (40 1) (50 1)}
tanto,{(129 2) (131 2) (123 1) (12 1) (9 1) (137 1) (80 2) (98 1) (112 1) (75 1) (60 1) (74 1) (55 1) (96 2) (95 1)}
próprios,{(108 2) (62 1) (9 1) (103 1) (85 1) (129 1) (115 1) (97 1)}
finais,{(131 1) (9 1)}
pacote,{(16 1) (9 1) (66 1)}
veneno,{(66 6) (9 1) (66 1)}
projeto,{(9 1) (58 1) (104 1) (20 1) (131 11) (15 1) (125 1) (51 3) (74 1) (33 1) (45 2) (72 1) (70 1) (30 2) (52 1) (13 5) (34 1) (131 1) (16 1) (70 3) (78 1) (57 1) (121 1) (88 1) (101 1)}
trâmite,{(9 1)}
câmara,{(9 1) (58 1) (71 1) (40 1) (63 1) (16 2) (66 1) (15 1) (48 1) (60 2) (27 2) (85 1) (18 5) (131 1) (111 1) (131 6) (127 1)}
deputados,{(94 1) (27 1) (9 1) (40 1) (53 1) (48 1) (56 3) (56 1) (45 2) (30 2) (131 1) (16 1) (60 1) (58 4) (131 6) (55 1) (15 4)}
legalizado,{(9 1)}
registros,{(9 2) (80 1)}
temporários,{(9 2) (75 1)}
criada,{(123 1) (9 1) (40 1) (99 1) (131 1) (80 2) (55 1) (33 1)}
cumprir,{(45 1) (9 1)}
prazos,{(9 1) (129 1)}
legislativo,{(30 1) (60 1) (53 2) (9 1)}
estabelecerá,{(9 1)}
utilizado,{(9 2) (87 1) (58 1) (74 1)}
pragas,{(9 1)}
anunciou,{(56 1) (121 1) (9 1)}
banido,{(9 1)}
prazo,{(125 1) (62 1) (94 1) (28 1) (9 1) (70 1) (81 1)}
danos,{(9 1) (31 1)}
saúde,{(33 2) (9 1) (110 5) (9 2) (115 1) (131 1) (17 1) (80 2) (80 1) (66 3) (124 1) (55 1) (110 2)}
populações,{(9 1)}
meio,{(45 1) (27 1) (58 1) (135 1) (84 1) (48 1) (89 1) (87 1) (66 5) (100 1) (97 1) (33 1) (13 1) (78 3) (9 2) (112 2) (88 1) (101 1)}
ambiente,{(123 1) (75 1) (9 1) (66 2) (88 1) (100 2) (131 1)}
enquanto,{(45 1) (109 1) (9 1) (58 1) (40 1) (35 1) (99 1) (16 2) (130 1) (55 2) (66 1) (110 1) (28 1) (56 1) (101 2) (97 1) (18 1) (77 1) (103 1) (85 1) (134 1) (80 1) (93 1) (78 1) (57 1) (121 1) (119 1) (129 1) (63 1)}
telma,{(9 1)}
nery,{(9 1)}
médica,{(16 1) (80 1) (124 1) (9 1)}
sanitarista,{(9 1)}
pesquisadora,{(80 1) (51 2) (116 1) (9 1)}
tema,{(30 1) (27 1) (9 1) (58 1) (70 1) (126 2) (130 1) (80 1) (29 1) (110 1) (121 1) (101 1) (131 4)}
publicou,{(9 2) (19 1) (74 1) (63 1)}
relacionando,{(9 1)}
intoxicações,{(9 3)}
agudas,{(9 3)}
provocadas,{(9 1)}
seres,{(54 1) (108 1) (9 1)}
análise,{(73 1) (9 1) (136 2) (131 1) (52 1) (116 1) (129 4) (80 1) (119 1) (51 1)}
últimos,{(32 1) (131 2) (108 1) (9 1) (88 1) (16 2) (110 1) (60 1) (87 1) (56 1) (54 1)}
seis,{(9 1) (122 1) (72 1) (53 1) (35 1) (52 1) (85 2) (99 1) (106 1) (114 1)}
correlacionando,{(9 1)}
instituições,{(9 1) (137 1) (54 1) (75 2) (99 1) (70 1) (58 2)}
ligadas,{(51 1) (9 1)}
identificaram,{(9 1)}
doenças,{(80 1) (9 1)}
hepáticas,{(9 1)}
câncer,{(9 2) (124 1) (88 1)}
11,{(16 1) (93 1) (9 1) (121 1) (87 1) (15 1)}
processos,{(80 1) (93 2) (9 1) (55 1) (88 1) (78 2) (31 1)}
relacionados,{(131 1) (129 1) (9 1) (31 1)}
pronunciou,{(9 1)}
afirmando,{(93 1) (137 1) (9 1)}
decepcionante,{(9 1)}
interesses,{(80 1) (110 1) (108 1) (9 1) (51 3) (81 1) (31 1)}
confiantes,{(9 1)}
evidências,{(35 1) (124 1) (9 1)}
fase,{(16 1) (60 1) (105 1) (9 1) (121 1) (34 1)}
mostrarão,{(9 1)}
conduta,{(70 1) (131 1) (28 1) (9 1)}
apropriada,{(9 1)}
responsabilizada,{(9 1)}
sr,{(9 1)}
comunicado,{(9 1)}
argumenta,{(9 1) (58 1) (74 1)}
realizou,{(16 1) (9 1)}
estudos,{(80 1) (57 1) (9 1) (23 1)}
avaliações,{(70 1) (131 1) (9 1)}
regulatórias,{(9 1)}
segurança,{(96 1) (9 1) (48 2) (66 1) (87 2) (70 3) (55 3) (51 2) (61 1) (34 3) (80 1) (74 1) (120 1) (51 1)}
humano,{(109 1) (9 1)}
livro,{(99 2) (105 1) (74 6) (87 1) (53 9) (10 1) (66 2) (88 1) (106 1) (54 1) (10 3)}
—,{(129 2) (44 2) (90 1) (15 2) (131 1) (99 8) (101 8) (10 2)}
portugal,{(10 1)}
esgotado,{(10 1)}
emissora,{(114 2) (10 2) (95 1) (11 1) (91 5) (25 2) (133 2) (42 2)}
sonegar,{(10 2)}
informações,{(53 1) (116 1) (80 2) (48 1) (92 1) (10 1) (88 1) (68 1) (31 1)}
apresentadas,{(10 1) (130 1)}
adquiriu,{(38 1) (58 1) (10 1)}
versão,{(112 1) (10 1) (31 1)}
constatou,{(58 1) (10 1)}
referência,{(92 1) (10 1) (136 1) (70 1) (66 1)}
incômoda,{(10 1)}
verdade,{(32 1) (131 2) (76 1) (135 1) (15 1) (28 1) (92 1) (89 1) (10 1) (27 2) (33 1) (31 1) (41 1) (103 1) (70 1) (80 1) (54 4) (106 1) (66 2) (89 2) (101 1) (22 1)}
imputação,{(10 1)}
corrupção,{(109 1) (35 2) (27 1) (38 1) (80 3) (20 1) (16 1) (70 2) (28 1) (88 2) (10 1) (89 2) (69 1) (31 1)}
apresentava,{(48 1) (10 1)}
homem,{(96 1) (122 1) (66 1) (28 1) (92 1) (10 1) (120 1) (32 2) (77 1) (99 2) (103 1) (85 1) (23 2) (93 1) (77 7) (119 1) (63 1)}
colocaria,{(28 1) (10 1)}
ordem,{(35 2) (71 1) (103 1) (62 2) (84 1) (126 2) (131 1) (78 1) (92 1) (10 1) (119 1) (115 1) (100 1)}
lupanário,{(10 1)}
vazias,{(10 1)}
xxx,{(10 1)}
perguntas,{(10 1)}
querem,{(108 1) (103 1) (78 2) (29 1) (61 1) (110 1) (88 2) (10 1) (100 2) (51 1) (74 3) (97 1)}
calar,{(13 1) (100 1) (89 1) (10 1)}
comprar,{(121 1) (66 1) (10 1) (130 1)}
publicação,{(73 1) (90 1) (10 1) (120 1) (133 1) (134 1) (66 1)}
esperava,{(10 1)}
algum,{(16 1) (131 2) (121 1) (10 1) (56 1) (37 1)}
tratamento,{(101 1) (110 2) (10 1)}
preferencial,{(10 1)}
publicaram,{(10 1)}
documentário,{(85 1) (92 1) (10 1)}
apresentei,{(10 1)}
reportagens,{(10 1)}
realizadas,{(80 1) (129 1) (10 1)}
ilhas,{(10 1) (74 1)}
virgens,{(10 1)}
britânicas,{(10 1)}
paraíso,{(10 1)}
fiscal,{(56 1) (84 1) (60 1) (10 1)}
usou,{(90 1) (10 1) (22 1) (17 1) (15 1)}
impostos,{(10 1)}
ventania,{(45 1) (11 1)}
atingiu,{(80 1) (85 1) (11 1) (18 1)}
ana,{(51 4) (11 3) (66 1) (53 8) (33 4) (88 2) (121 1) (87 1) (86 1) (135 2)}
braga,{(11 2) (66 1) (135 2)}
revelou,{(11 3) (42 1) (103 1)}
fortes,{(11 2) (28 4)}
chuvas,{(11 2)}
afetaram,{(11 1)}
estúdios,{(11 2)}
tv,{(133 4) (73 1) (90 1) (105 1) (113 1) (58 2) (80 1) (11 1) (42 1) (129 1) (95 1)}
última,{(21 1) (48 2) (80 1) (112 1) (11 1) (28 1) (88 2) (121 1) (124 1) (115 1)}
quinta-feira,{(123 1) (135 1) (53 1) (11 2) (134 1) (84 1) (20 1) (68 1)}
07,{(11 2)}
mostrou,{(80 1) (111 2) (11 2) (51 1) (65 1)}
incidentes,{(93 1) (11 2)}
ocorridos,{(11 1)}
antigo,{(11 2) (130 1)}
projac,{(11 1)}
impacto,{(11 1) (60 1) (58 1) (74 1)}
causaram,{(11 1)}
alguns,{(129 3) (137 1) (58 1) (15 3) (99 1) (78 2) (131 1) (61 1) (11 1) (89 1) (88 1) (69 1) (51 1) (97 1)}
sofreu,{(61 1) (11 1) (89 1) (42 1) (85 1) (99 1)}
relatou,{(124 1) (11 1) (68 1)}
lago,{(11 1) (119 1)}
cheio,{(88 1) (86 1) (11 1)}
preocupação,{(80 1) (11 1) (56 1) (85 1) (74 2) (127 1)}
estúdio,{(11 1) (95 1)}
toda,{(131 2) (48 1) (125 1) (88 2) (89 1) (78 2) (100 1) (96 2) (54 3) (64 1) (123 1) (58 2) (16 1) (29 1) (81 2) (11 1) (119 1) (127 1)}
madrugada,{(11 1) (95 1)}
cenário,{(91 1) (108 1) (131 1) (84 1) (15 1) (11 1) (66 2) (51 1)}
fica,{(64 1) (137 1) (58 1) (122 1) (85 1) (38 1) (131 1) (113 1) (130 1) (78 1) (11 1) (66 2) (56 1) (51 1)}
extensa,{(11 1)}
área,{(33 2) (13 1) (48 4) (85 1) (80 3) (11 1) (60 1) (74 1) (119 1)}
mata,{(11 1)}
preservada,{(11 1)}
estaria,{(38 3) (11 1) (92 1) (23 1) (34 1) (31 1)}
vulnerável,{(30 1) (11 1)}
caísse,{(11 1) (99 1)}
vento,{(32 1) (11 1)}
agora,{(77 2) (58 1) (112 3) (35 1) (81 1) (110 1) (28 1) (87 1) (133 1) (97 1) (101 4) (123 1) (41 1) (80 1) (11 1) (78 3) (129 1) (50 1) (30 1) (27 1) (40 1) (99 1) (66 1) (23 1) (121 2) (115 1) (33 1) (20 2) (131 1) (52 1) (29 1) (51 2) (75 1) (78 1) (42 1) (55 1) (68 1) (103 2)}
chegou,{(73 1) (58 1) (40 1) (99 1) (85 2) (130 1) (61 1) (92 1) (121 2) (101 2) (82 1) (55 4) (131 1) (115 2) (11 1) (88 1) (22 1) (68 1)}
110,{(11 1) (87 1)}
km/h,{(11 1)}
dado,{(77 1) (99 1) (116 1) (34 1) (112 1) (125 1) (11 1) (28 1) (101 1)}
medição,{(11 1)}
copacabana,{(11 1)}
especialistas,{(80 1) (30 1) (70 2) (11 1) (92 1) (106 1)}
capacidade,{(28 5) (32 1) (76 1) (16 2) (80 1) (11 1) (130 3) (121 1)}
tornar,{(131 2) (91 1) (11 1) (42 1) (70 1)}
furacão,{(11 1)}
constância,{(11 1)}
associação,{(12 2) (78 1) (123 1) (121 1) (70 1) (112 2) (112 3)}
islâmica,{(12 2)}
mohamad,{(12 2)}
el,{(16 1) (92 1) (12 3)}
kadri,{(12 3)}
sendo,{(97 2) (109 1) (91 1) (12 1) (129 3) (58 1) (13 2) (104 1) (38 1) (20 1) (55 2) (110 1) (28 1) (25 1) (87 1) (120 1) (54 1) (78 2) (100 1) (33 3) (108 1) (116 1) (93 1) (51 2) (60 1) (121 1) (106 1) (101 1) (131 4) (129 1)}
surpresa,{(12 1) (41 1) (66 2) (40 1) (22 1) (115 1)}
árabe,{(12 1) (81 1) (103 1)}
visita,{(96 1) (108 2) (123 1) (12 1) (53 1) (38 1) (17 1) (80 1)}
considerando,{(53 1) (131 1) (12 1) (130 1)}
manteve,{(62 1) (91 1) (12 1) (31 1)}
diferente,{(12 1) (58 1) (103 1) (99 1) (116 1) (66 1) (88 3) (51 1)}
questão,{(30 1) (12 1) (58 1) (40 1) (126 2) (110 1) (92 1) (121 2) (115 1) (97 1) (33 1) (31 1) (129 2) (108 1) (66 11) (51 2) (38 2) (42 1) (101 1)}
palestina,{(12 1) (17 1) (103 1)}
oriente,{(12 1) (76 1)}
médio,{(64 1) (45 1) (131 2) (12 1) (76 1) (116 1) (28 1) (106 1) (33 1)}
pessoal,{(12 1) (20 1) (78 1) (60 1) (56 2) (42 1) (66 2) (31 1)}
espantado,{(12 1)}
admirado,{(12 1)}
negativamente,{(12 1)}
muitos,{(94 1) (131 2) (12 1) (71 1) (38 1) (88 1) (80 2) (66 1) (110 1) (28 1) (100 1) (97 1) (41 1) (90 1) (131 3) (65 1) (75 3) (80 1) (78 1) (106 1) (89 2) (22 1) (129 1) (74 2)}
mudada,{(12 1)}
totalmente,{(66 6) (12 1) (130 2) (135 1) (78 2) (33 4)}
árabes,{(81 2) (76 1) (12 3)}
parceiros,{(12 1)}
comerciais,{(81 3) (12 1)}
superávit,{(12 2)}
us,{(12 2) (130 4) (81 4)}
bilhões,{(81 2) (12 2) (33 1) (13 2) (56 2) (84 1) (81 1)}
balança,{(12 2)}
comercial,{(134 1) (12 1) (81 1)}
22,{(64 1) (30 1) (12 1) (16 1) (48 1) (121 1) (56 1) (86 1) (51 1)}
compõem,{(12 1) (74 1)}
liga,{(80 1) (12 1) (81 1)}
valor,{(12 1) (72 1) (84 2) (16 2) (66 1) (53 3) (74 1) (23 1) (121 2) (101 1) (31 1)}
representa,{(12 1) (13 3) (104 1) (52 2) (20 1) (84 1) (66 1) (125 1) (110 1) (28 1) (121 1)}
67,{(12 1)}
alcançou,{(12 1)}
fatores,{(12 1) (130 1)}
dessa,{(108 2) (30 1) (94 1) (12 1) (35 1) (88 2) (23 1) (56 1) (115 1) (78 2) (18 1) (129 2) (126 1) (60 1) (95 2) (88 1) (110 2)}
exportação,{(12 1) (81 1)}
carne,{(77 1) (81 1) (12 3)}
halal,{(81 2) (12 2)}
demanda,{(45 1) (12 1) (66 2) (33 1) (97 1)}
ritual,{(12 1)}
islâmico,{(12 1) (76 1)}
específico,{(54 1) (131 1) (12 1) (33 1)}
abate,{(12 1) (12 3)}
frango,{(12 1) (81 1)}
quanto,{(32 1) (108 2) (131 2) (12 1) (81 1) (66 1) (112 1) (133 1) (69 1) (54 1) (115 1) (18 1) (31 1) (129 2) (116 1) (78 1) (60 1) (88 1) (50 1)}
bovina,{(12 1) (81 1)}
regras,{(23 5) (12 1) (86 2) (58 1) (35 1) (30 2) (45 5) (52 1) (80 2) (84 1) (121 1)}
obrigatoriedade,{(51 1) (12 1) (131 1) (87 1)}
corpo,{(109 1) (12 1) (85 1) (66 1) (34 1) (95 2) (87 1) (18 1)}
animal,{(113 1) (12 1) (81 1)}
voltado,{(51 1) (12 1)}
direção,{(12 1) (131 1) (78 1) (28 1) (61 2) (119 1) (42 3) (64 2)}
meca,{(12 1) (89 1)}
cidade,{(93 1) (91 1) (12 1) (88 1) (53 1) (85 1) (131 5)}
sagrada,{(12 1)}
islamismo,{(12 1) (81 1)}
situada,{(12 1)}
arábia,{(12 1)}
saudita,{(12 1)}
realizado,{(137 1) (12 1) (33 1) (87 1)}
muçulmano,{(12 1)}
exportam,{(12 1)}
plantas,{(12 1) (66 1)}
indústrias,{(12 1)}
especiais,{(12 1)}
realizar,{(12 1) (33 1)}
atrapalhar,{(12 1)}
lideranças,{(28 2) (12 1) (98 1)}
políticas,{(12 1) (137 1) (58 1) (38 1) (81 1) (66 1) (33 5) (74 1) (54 1) (51 1) (131 1) (80 1) (28 2) (78 1) (75 1) (129 1)}
tradicionais,{(12 1)}
aliados,{(45 1) (12 1)}
reagissem,{(12 1)}
comportamento,{(99 2) (12 1) (60 1) (58 1) (92 1) (120 1)}
preocupar,{(12 1)}
atitudes,{(88 1) (28 1) (12 1) (66 3)}
pessoais,{(88 1) (78 1) (12 1)}
inconsequência,{(12 1)}
abrir,{(126 1) (78 1) (12 1) (88 1) (97 1)}
catastrófico,{(12 1)}
destaca,{(30 1) (51 2) (12 1) (78 1) (54 1) (131 1)}
perder,{(12 1) (58 1) (122 1) (40 1) (131 1) (88 1) (68 1) (101 3)}
comércio,{(48 1) (80 1) (12 1) (55 1)}
causar,{(12 1) (66 1)}
desemprego,{(45 1) (125 1) (12 1) (28 1) (58 1) (116 2) (86 1)}
passando,{(131 1) (12 1) (57 1) (66 2)}
vergonha,{(108 1) (12 1) (58 1) (103 1) (137 1) (66 1)}
declarado,{(45 1) (126 1) (12 1) (124 1) (56 1) (99 1)}
governar,{(88 1) (12 1) (71 2)}
faço,{(40 1) (12 1) (95 2) (76 1)}
cabeça,{(32 1) (12 1) (78 5) (39 1) (98 1) (42 1) (55 2)}
bel-prazer,{(12 1)}
questiona,{(84 1) (30 1) (36 1) (12 1)}
passados,{(109 1) (13 1) (41 1) (55 1)}
90,{(13 1) (45 1)}
posse,{(13 1) (28 2) (75 1) (121 1) (56 1) (85 2) (130 1)}
presidencial,{(13 1) (129 3) (124 1) (28 1) (16 2)}
ex-ministro,{(13 1) (122 1) (20 2) (52 1) (17 1) (121 1) (106 1) (51 1) (33 1)}
pt,{(32 1) (33 2) (28 4) (94 3) (13 4) (20 1) (48 1) (129 6) (88 2) (87 1) (51 1) (126 1) (131 1) (56 2) (58 4) (55 1) (121 3)}
analisou,{(13 1)}
apontou,{(16 1) (13 1) (35 1) (55 1)}
desafios,{(13 1) (33 1) (87 1)}
alternativas,{(13 1) (131 1)}
retomada,{(125 1) (110 1) (13 2)}
concedida,{(13 1) (92 1)}
1º,{(129 2) (13 1) (53 1) (47 1) (16 1) (121 1) (133 1) (103 2)}
estreia,{(13 1)}
iniciativa,{(13 1) (29 1) (124 1) (106 1) (87 1) (131 1) (33 1)}
ex-senadores,{(13 1)}
lindbergh,{(13 1)}
farias,{(13 1)}
vanessa,{(13 1)}
grazziotin,{(13 1)}
pcdob,{(13 1) (78 1) (131 1) (28 1)}
ex-parlamentares,{(13 1)}
comentou,{(13 1) (77 1)}
crescimento,{(13 1) (45 1) (80 4) (84 2) (116 2) (16 1) (28 1) (89 1) (42 1) (88 1) (100 1)}
insatisfação,{(13 1)}
novo,{(109 1) (13 2) (137 1) (71 1) (84 1) (20 1) (55 2) (112 1) (28 1) (88 2) (74 1) (78 2) (66 2) (77 1) (103 3) (130 2) (131 1) (49 1) (16 1) (75 1) (60 1) (121 1) (119 1) (86 1)}
retrocesso,{(110 3) (13 1) (33 1)}
imaginário,{(109 1) (13 1) (69 1)}
guedes,{(13 1) (58 1) (111 2) (99 1) (130 1) (28 1) (60 1) (58 17) (37 1) (86 1) (15 5) (33 1) (127 1)}
michel,{(13 1) (62 1) (52 3) (35 1) (125 1) (110 1) (43 1) (28 1) (55 1) (51 1)}
temer,{(13 1) (52 4) (50 3) (35 3) (43 2) (62 2) (94 2) (28 2) (125 2) (110 2) (55 1) (51 1) (33 1)}
radical,{(13 2) (66 1) (130 1)}
meirelles,{(13 1)}
cobra,{(56 1) (13 1)}
prometeram,{(13 1)}
pec,{(13 1) (29 1) (33 1) (15 1)}
teto,{(16 1) (13 1) (86 1) (33 1)}
iam,{(13 1) (134 1) (130 1)}
resolver,{(13 1) (38 1) (81 1) (54 1)}
vivem,{(13 1) (131 1) (29 1)}
mentindo,{(13 1)}
lamentou,{(13 1) (90 1)}
governos,{(33 2) (13 1) (20 1) (16 2) (87 2) (110 1) (28 1) (51 1)}
lula,{(32 1) (28 4) (88 8) (38 8) (56 16) (121 19) (126 2) (61 1) (56 1) (51 1) (52 4) (97 1) (115 1) (123 3) (66 2) (103 3) (70 1) (134 1) (52 1) (13 5) (93 1) (55 1) (129 10) (101 1) (20 15) (132 1) (129 1) (50 1)}
dilma,{(28 5) (13 1) (61 6) (59 1) (94 1) (41 1) (20 1) (88 1) (112 1) (125 1) (50 1) (99 7) (115 1) (48 7)}
rousseff,{(48 1) (13 1) (112 1) (125 1) (41 1) (99 1) (20 1)}
interpreta,{(13 1) (126 1) (101 1)}
